dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,131.000000,56.000000,0.000049,0.019578,3.915680,783.135956,3.141571
0.005000,131.000000,56.000000,0.000245,0.058735,7.831360,783.135956,3.141574
0.005000,131.000000,56.000000,0.000685,0.117470,11.747039,783.135956,3.141583
0.005000,130.999741,56.000000,0.001468,0.195784,15.662719,783.135956,3.141598
0.005000,130.998517,56.000000,0.002692,0.293676,19.578399,783.135956,3.141621
0.005000,130.996755,56.000000,0.004454,0.411146,23.494079,783.135956,3.141654
0.005000,130.994357,56.000000,0.006852,0.548195,27.409758,783.135956,3.141699
0.005000,130.991224,55.999999,0.009985,0.704822,31.325438,783.135956,3.141758
0.005000,130.987260,55.999998,0.013950,0.881028,35.241118,783.135956,3.141833
0.005000,130.982365,55.999997,0.018844,1.076812,39.156798,783.135956,3.141925
0.005000,130.976443,55.999995,0.024767,1.292174,43.072478,783.135956,3.142037
0.005000,130.969394,55.999991,0.031815,1.527115,46.988157,783.135956,3.142170
0.005000,130.961122,55.999986,0.040087,1.781634,50.903837,783.135956,3.142326
0.005000,130.951529,55.999978,0.049680,2.055732,54.819517,783.135956,3.142507
0.005000,130.940516,55.999967,0.060693,2.349408,58.735197,783.135956,3.142715
0.005000,130.927986,55.999951,0.073223,2.662662,62.650877,783.135956,3.142952
0.005000,130.913841,55.999930,0.087369,2.995495,66.566556,783.135956,3.143220
0.005000,130.897982,55.999902,0.103227,3.347906,70.482236,783.135956,3.143520
0.005000,130.880313,55.999865,0.120897,3.719896,74.397916,783.135956,3.143855
0.005000,130.860734,55.999817,0.140475,4.111464,78.313596,783.135956,3.144226
0.005000,130.839149,55.999756,0.162060,4.522610,82.229275,783.135956,3.144636
0.005000,130.815460,55.999678,0.185750,4.953335,86.144955,783.135956,3.145086
0.005000,130.789567,55.999581,0.211642,5.403638,90.060635,783.135956,3.145579
0.005000,130.761375,55.999461,0.239835,5.873520,93.976315,783.135956,3.146116
0.005000,130.730784,55.999314,0.270427,6.362980,97.891995,783.135956,3.146700
0.005000,130.697697,55.999135,0.303514,6.872018,101.807674,783.135956,3.147333
0.005000,130.662016,55.998918,0.339196,7.400635,105.723354,783.135956,3.148016
0.005000,130.623643,55.998657,0.377569,7.948830,109.639034,783.135956,3.148752
0.005000,130.582481,55.998346,0.418733,8.516604,113.554714,783.135956,3.149543
0.005000,130.538431,55.997977,0.462784,9.103955,117.470393,783.135956,3.150392
0.005000,130.491396,55.997542,0.509822,9.710886,121.386073,783.135956,3.151300
0.005000,130.441278,55.997031,0.559942,10.337395,125.301753,783.135956,3.152270
0.005000,130.387979,55.996434,0.613244,10.983482,129.217433,783.135956,3.153305
0.005000,130.331450,55.995741,0.669777,11.629569,129.217433,0.000000,3.154405
0.005000,130.271693,55.994941,0.729540,12.275656,129.217433,0.000000,3.155571
0.005000,130.208706,55.994021,0.792534,12.921743,129.217433,-0.000000,3.156804
0.005000,130.142490,55.992971,0.858758,13.567830,129.217433,-0.000000,3.158105
0.005000,130.073046,55.991777,0.928212,14.213918,129.217433,0.000000,3.159473
0.005000,130.000374,55.990425,1.000897,14.860005,129.217433,-0.000000,3.160911
0.005000,129.924474,55.988901,1.076812,15.506092,129.217433,0.000000,3.162418
0.005000,129.845347,55.987191,1.155958,16.152179,129.217433,-0.000000,3.163995
0.005000,129.762993,55.985278,1.238334,16.798266,129.217433,0.000000,3.165643
0.005000,129.677413,55.983145,1.323940,17.444353,129.217433,-0.000000,3.167363
0.005000,129.588608,55.980777,1.412777,18.090441,129.217433,-0.000000,3.169156
0.005000,129.496578,55.978154,1.504845,18.736528,129.217433,0.000000,3.171023
0.005000,129.401324,55.975257,1.600143,19.382615,129.217433,-0.000000,3.172964
0.005000,129.302847,55.972067,1.698671,20.028702,129.217433,0.000000,3.174981
0.005000,129.201149,55.968564,1.800430,20.674789,129.217433,0.000000,3.177074
0.005000,129.096230,55.964726,1.905419,21.320876,129.217433,-0.000000,3.179245
0.005000,128.988092,55.960530,2.013638,21.966964,129.217433,0.000000,3.181495
0.005000,128.876735,55.955955,2.125088,22.613051,129.217433,0.000000,3.183825
0.005000,128.762163,55.950975,2.239769,23.259138,129.217433,-0.000000,3.186236
0.005000,128.644376,55.945566,2.357680,23.905225,129.217433,0.000000,3.188730
0.005000,128.523377,55.939702,2.478821,24.551312,129.217433,0.000000,3.191307
0.005000,128.399167,55.933356,2.603193,25.197399,129.217433,-0.000000,3.193970
0.005000,128.271750,55.926501,2.730795,25.843487,129.217433,0.000000,3.196719
0.005000,128.141126,55.919107,2.861628,26.489574,129.217433,-0.000000,3.199556
0.005000,128.007300,55.911145,2.995691,27.135661,129.217433,-0.000000,3.202482
0.005000,127.870273,55.902584,3.132984,27.781748,129.217433,0.000000,3.205500
0.005000,127.730050,55.893392,3.273508,28.427835,129.217433,-0.000000,3.208610
0.005000,127.586634,55.883536,3.417263,29.073922,129.217433,0.000000,3.211814
0.005000,127.440029,55.872981,3.564248,29.720010,129.217433,0.000000,3.215114
0.005000,127.290239,55.861693,3.714463,30.366097,129.217433,0.000000,3.218512
0.005000,127.137267,55.849634,3.867908,31.012184,129.217433,0.000000,3.222010
